NO2,O3,PM25,SJ,SO2,AQI,PM10,ID,CO
37,102,18,2022-02-26,6,52,33,"060dade408754dc9a8f1e750ea55fbd8",0.4
24,85,13,2022-02-25,5,43,20,"c019fe405a004ac78a9995720fe33e72",0.5
16,81,14,2022-02-24,4,41,22,"6245b278c0944202953c248182cd6285",0.6
10,74,5,2022-02-23,5,37,8,"f48034454a874ce3851dbb78cd86e6f5",0.6
13,46,3,2022-02-22,4,23,4,"80efd85b5acb46ae88f8dfe02e98dbb2",0.8
9,58,2,2022-02-21,4,29,2,"dcf579203a514bf3837518d0e1bca9eb",0.8
7,56,2,2022-02-20,4,28,2,"6d26735210f14f06ac5fa46566653ca9",0.7
9,45,2,2022-02-19,4,23,4,"94cd9ba1039948df98fe18622bdea0df",0.7
14,98,7,2022-02-18,4,49,16,"71df1ef315f243e9b03de93997c64065",0.6
16,90,16,2022-02-17,4,45,29,"803a62a99f2b4003abd4ae8b105632e1",0.6
14,120,22,2022-02-16,4,67,40,"d219c5e54d234eb1bc213d27315dfd05",0.6
17,106,14,2022-02-15,6,55,24,"a1059df944a24c049f23d3c8e2befbdf",0.8
14,92,4,2022-02-14,6,46,7,"ae1a9d67429247f48fe9d6fc57e5395e",0.8
17,70,13,2022-02-13,6,35,18,"11909a69509f40f6b6a2ffad3a36ffc9",0.8
20,94,14,2022-02-12,7,47,25,"65e5fccb89a3460882cc93faa555ecf8",0.6
14,101,5,2022-02-11,6,51,10,"4d2b0af4da07468a9280bb60ce0a3736",0.6
18,76,14,2022-02-10,6,38,23,"dca64ff76b0d483b9c119bafc972682a",0.7
14,64,12,2022-02-09,6,32,22,"0aedce0fef8e402b82138b63f4b23391",0.6
12,46,4,2022-02-08,6,23,8,"da987e4bc325462fb160a81ae2d0b261",0.8
15,85,14,2022-02-07,6,43,26,"1270b96d49174a118fb59fd4ff8c3052",0.6
14,106,19,2022-02-06,6,55,30,"6c292c8dd6a44b5fa630b87511516c22",0.6
7,60,12,2022-02-05,6,30,17,"1511829d964544f5ace8bfcfd4e378c1",0.7
4,70,7,2022-02-04,6,35,10,"6846124939b141118336a54d9923fa40",0.8
6,39,2,2022-02-03,5,20,4,"1fbc5e3450cf4435a1d791ecea080e42",0.8
11,32,8,2022-02-02,6,18,11,"cf0578fb6b29469095032e300ef79391",0.7
8,40,11,2022-02-01,5,20,16,"89b377ae6eb44039b79dbdad6d5f3381",0.8
8,58,15,2022-01-31,6,29,22,"ed5f468f5c8e48fabaf4769556e3942c",0.8
7,74,4,2022-01-30,6,37,8,"df1496706e344106a7608d662c238244",0.9
21,50,8,2022-01-29,6,27,14,"807474e1d81e418cac18873a3c4bbe41",1.0
24,81,16,2022-01-28,6,41,24,"6bd0786798954e7589782406d3fe10af",0.7
38,76,22,2022-01-27,8,48,33,"0c98983b44634b969f87fd0372131d21",0.8
29,84,18,2022-01-26,7,42,31,"acd6b8c8706345bd88025286fba8816e",0.8
28,48,10,2022-01-25,7,35,18,"91c0964317a84e3c888ce2efe7353d97",0.7
36,74,16,2022-01-24,7,45,24,"c3ab2020174a46f6a782dff83a5df7a3",0.4
34,54,7,2022-01-23,7,43,14,"5e1458ea206541a0b1bcc1bd930f2f51",0.5
22,57,6,2022-01-22,6,29,10,"ddb6c34204d4420a833731df52982d2e",0.5
23,110,20,2022-01-21,6,59,38,"ac2a2b80591845be813035d907913eef",0.6
24,112,16,2022-01-20,6,60,29,"adbfc174a7654b87afe8c611fb9e35a3",0.7
18,108,10,2022-01-19,6,57,19,"9f1637dc86474cb793a5cc4bdd3ba899",0.8
30,42,19,2022-01-18,6,38,29,"c3d4e35d111243a38d82b8b89e74f930",1.0
27,100,30,2022-01-17,6,50,46,"27816c1f603742ae97bdaa37c9809af8",0.7
28,128,26,2022-01-16,6,74,36,"273202e25bfe490abd8dbeb0ba00ad15",0.6
26,131,29,2022-01-15,6,76,41,"97895a9ff2264fb7a9e83063dedce43d",0.7
25,114,39,2022-01-14,6,62,60,"b51e467322a84f9aabdaa384414d2aae",0.7
22,88,28,2022-01-13,7,44,44,"819f3fb2436f4dc1a7b971b3e785b7f4",0.7
26,82,24,2022-01-12,6,41,36,"14b5c61795c74e63a1530a1620da08cd",0.8
18,85,14,2022-01-11,6,43,22,"f5a1b897fae0494aa84991ad8c318e65",0.8
30,103,24,2022-01-10,6,53,36,"60d0b554408d4b6babf5cc2ad0d90641",0.8
32,108,28,2022-01-09,7,57,45,"f7f1a87c8916485a9cc92e3a1ec84bd0",0.8
18,112,25,2022-01-08,6,60,37,"c5c65a8c86434cfdae2ec3886f654f79",0.8
26,114,32,2022-01-07,6,62,50,"235d83e2efd245ee93d837217c7e9447",0.9
31,120,33,2022-01-06,6,67,50,"bae9fea99ae649d5b8b2d9e1b230ae26",0.8
40,103,16,2022-01-05,7,53,25,"fd80c1bfdf2246a8808460d731797d52",0.8
30,146,29,2022-01-04,7,89,46,"b7c59f2506cf46f59d803075830439c9",0.8
30,115,20,2022-01-03,6,63,33,"599713e05742482fb53c3fb6921f9e09",0.8
32,119,36,2022-01-02,6,66,52,"5cb85cb41a644973b3cb1a14f56de6c8",0.9
30,110,36,2022-01-01,7,59,60,"b517f62ea53942499dcb50e5d12e8b4b",0.9
