Date,Open,High,Low,Close
2024/5/6,545.8,545.8,540,544.13
2024/4/30,549.2,550,545.67,545.8
2024/4/29,552,553,548,549.06
2024/4/26,555,555,546,553
2024/4/25,546.01,550,544.6,548.16
2024/4/24,544,549.3,544,548.33
2024/4/23,552.8,553.55,542.01,544.01
2024/4/22,563.1,567.6,555.8,556.55
2024/4/19,562.8,573.96,561,565.55
2024/4/18,566.3,568,558.8,563.37
2024/4/17,562.61,569,562.02,564.46
2024/4/16,559,569,552.66,562.5
2024/4/15,567.01,576.99,556,558.68
2024/4/12,553.5,569.87,553.5,567.21
2024/4/11,554.3,556.89,551,554.14
2024/4/10,556,559.97,554.5,557.9
2024/4/9,552,558.3,550.5,555.5
2024/4/8,537.5,560,537.5,554.11
2024/4/3,533.8,540.7,533,537.5
2024/4/2,529.81,533.9,528,533.8
2024/4/1,528,533.8,527.11,533.74
2024/3/29,520.5,538,519,527.54
2024/3/28,516,518.9,516,518.8
2024/3/27,517,517.5,514,515.94
2024/3/26,511.2,513.9,511.2,512.52
2024/3/25,510.7,514.8,510.7,511.13
2024/3/22,514.94,515.5,508,511.16
2024/3/21,504.51,514.95,504,514.94
2024/3/20,504.2,505.2,503.6,505.2
2024/3/19,504.5,505.94,503.21,504.06
2024/3/18,505.5,506.3,502.7,503.26
2024/3/15,505.3,507.2,504.5,507.12
2024/3/14,505.2,507.95,505,505.2
2024/3/13,504.5,506,503.26,504.79
2024/3/12,507.3,507.9,505.15,505.24
2024/3/11,507,509.99,505.1,507.29
2024/3/8,505.1,505.99,503,505.84
2024/3/7,499.5,506,499.5,505.1
2024/3/6,498.09,503.99,497.5,499.76
2024/3/5,489.43,496.6,489,496.52
2024/3/4,482.88,490,482.88,489
2024/3/1,480,483.44,480,483.4
2024/2/29,479.6,481.5,479.6,480.96
2024/2/28,481.3,481.97,480.05,480.1
2024/2/27,480.79,481.3,479.58,481.3
2024/2/26,478.8,481,478.8,480.57
2024/2/23,479.21,480,477.65,477.81
2024/2/22,479.21,480.4,478.4,479.32
2024/2/21,480.95,480.95,479.31,479.57
2024/2/20,479.52,480.3,479.08,479.66
2024/2/19,478.1,481.9,477.5,479.52
2024/2/9,479.2,482.2,478.48,479.99
2024/2/8,479.11,482.49,479,480.58
2024/2/7,479.8,481.28,478.6,480.08
2024/2/6,480.79,480.79,477,478.81
2024/2/5,484,484,479.08,479.11
2024/2/2,479.81,483.8,479.81,483.55
2024/2/1,480.01,482.2,480,480
2024/1/31,479.5,481.93,479.5,480
2024/1/30,478.11,480.9,478.11,480.15
2024/1/29,478.45,480.2,476,479.2
2024/1/26,476.5,479.5,475.75,479.26
2024/1/25,479.45,479.5,475,475.8
2024/1/24,478.31,479,477.8,478
2024/1/23,479.49,479.65,477.5,478.52
2024/1/22,480.1,481,477.5,478.39
2024/1/19,478.1,482,477.1,479.51
2024/1/18,478,479.51,476,476
2024/1/17,481.03,482.49,477.11,477.3
2024/1/16,482.32,484,482.32,482.7
2024/1/15,480.1,483.99,480.1,483.44
2024/1/12,478.51,495,477.12,479.18
2024/1/11,478.8,480.56,477.71,478.2
2024/1/10,479.5,480.3,477.9,478.08
2024/1/9,480.9,480.94,476,478.66
2024/1/8,479.5,483,477.86,479
2024/1/5,480.2,482.32,479.2,480
2024/1/4,479,482,477,480.4
2024/1/3,482,483.5,481.03,481.49
2024/1/2,480.8,483.8,480,483.66
