ID,Height,Weight,Lungcap,Run,Jump,Sitreach,Situp
135,155.2,50,2701,8.66,170,19.9,46
136,160.1,51.5,1665,7.67,210,25.6,53
137,164.9,55.1,2474,9.15,160,21,42
138,161,58.5,2959,9.15,170,12.7,42
139,162,65,2600,9.15,150,12.9,38
140,171.2,57.7,3164,9,170,14.1,30
141,180,84,3732,9.93,155,12.5,26
142,160,65,2969,10.87,165,15,30
143,158,46,1870,8.8,190,9.7,30
144,162,57.8,2765,8.32,170,24.9,43
145,159.9,52,1658,9.96,180,19,43
